plane,k,h,test_accuracy_mean,test_accuracy_std,test_accuracy_max,test_f1_mean,test_f1_std,test_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_max,training_time_mean,training_time_std,training_time_max,model_params,Computational_Efficiency,Parameter_Efficiency,AIC-ML
Axial,0,0,83.3,2.668749,86,0.821134,0.041978,0.859813,0.901628,0.02742,0.940202,0.833355,0.014659,0.851791,18130,19.56123765,4594.594595,19.61149877
Axial,2,2,83.1,2.923088,88,0.813737,0.042765,0.857143,0.893923,0.027784,0.928485,0.029641,0.004399,0.039473,7,92.01740823,11871428.57,-2.775122215
Axial,4,2,82.9,2.806738,86,0.809433,0.042322,0.857143,0.890363,0.026903,0.928193,0.065446,0.010973,0.087639,11,76.81749503,7536363.636,-0.282199014
Axial,4,4,83.2,3.084009,88,0.814292,0.03632,0.854167,0.885394,0.015502,0.909495,0.071426,0.011262,0.099583,16,67.61759757,5200000,0.63483646
Axial,8,2,82.4,2.458545,87,0.809323,0.037377,0.847059,0.896002,0.025447,0.937778,0.135749,0.029125,0.213403,19,63.33443524,4336842.105,2.282152083
Axial,8,4,83,3.399346,87,0.815004,0.036564,0.863158,0.887027,0.034058,0.939798,0.190115,0.015677,0.231506,32,54.65870139,2593750,3.983878708
Axial,8,8,83.7,2.869379,88,0.819084,0.040626,0.864865,0.886525,0.035264,0.924113,0.229918,0.018846,0.26846,46,50.05687891,1819565.217,5.073080099
Axial,16,16,82.6,2.366432,85,0.810331,0.035853,0.844037,0.897019,0.022703,0.927785,0.852441,0.056229,0.974735,154,37.71118323,536363.6364,10.13692365
Axial,16,2,82.2,4.022161,88,0.799068,0.061397,0.857143,0.883635,0.043353,0.918788,0.243579,0.019011,0.290527,35,52.81749529,2348571.429,4.678097983
Axial,16,4,83.2,3.392803,87,0.818231,0.04629,0.864865,0.89398,0.019448,0.917067,0.427055,0.041511,0.501035,64,45.89298198,1300000,6.983926906
Axial,16,8,83,2.403701,86,0.814382,0.03323,0.862385,0.89405,0.027248,0.927677,0.717189,0.097203,0.932764,110,40.58038797,754545.4545,9.108788138
Coronal,0,0,81.7,6.412661,89,0.801487,0.077768,0.888889,0.894501,0.055232,0.964848,0.834401,0.009891,0.839707,18130,19.18551159,4506.343078,19.65279662
Coronal,2,2,81.9,6.539623,89,0.80573,0.073996,0.886598,0.884664,0.064305,0.961985,0.029257,0.005018,0.040376,7,90.68863699,11700000,-2.772110147
Coronal,4,2,82.1,7.109462,91,0.801123,0.087925,0.907216,0.888007,0.057546,0.964848,0.067582,0.015082,0.09354,11,76.0761923,7463636.364,-0.198572323
Coronal,4,4,80.8,6.579429,90,0.788644,0.083792,0.893617,0.87826,0.046473,0.950721,0.069355,0.008697,0.090018,16,65.66708995,5050000,0.634529812
Coronal,8,2,81,5.416026,91,0.79397,0.068329,0.905263,0.87019,0.044059,0.949519,0.139165,0.028874,0.203653,19,62.25836473,4263157.895,2.366130022
Coronal,8,4,81.5,5.482295,89,0.794179,0.071849,0.884211,0.883755,0.055369,0.961985,0.196845,0.044318,0.294556,32,53.67089354,2546875,4.089928813
Coronal,8,8,81.5,6.041523,89,0.792578,0.077946,0.884211,0.884921,0.05565,0.960784,0.229104,0.006991,0.239061,46,48.74116644,1771739.13,5.119258664
Coronal,16,16,81.6,6.168018,89,0.796235,0.08294,0.888889,0.885077,0.051957,0.951981,0.884912,0.121839,1.218193,154,37.25463137,529870.1299,10.2360529
Coronal,16,2,81.4,6.899275,89,0.798076,0.081414,0.884211,0.887581,0.059378,0.961585,0.275581,0.072434,0.458354,35,52.3034564,2325714.286,4.944538584
Coronal,16,4,81.1,6.573516,89,0.794066,0.078046,0.888889,0.885237,0.056726,0.960404,0.435972,0.050606,0.536346,64,44.73462546,1267187.5,7.076386101
Coronal,16,8,81.9,6.454112,89,0.801272,0.08217,0.88172,0.890651,0.057488,0.959596,0.737694,0.173356,1.21922,110,40.0425756,744545.4545,9.191850773
Sagittal,0,0,82.5,5.038739,90,0.810051,0.068078,0.9,0.888457,0.044158,0.947579,0.833324,0.012446,0.842432,18130,19.37337462,4550.468836,19.63072488
